City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Ahipara,NZ,-35.1667,173.1667,65.73,75,98,10.4,overcast clouds
127,Quatre Cocos,MU,-20.2078,57.7625,72.09,87,26,8.32,scattered clouds
128,Chuy,UY,-33.6971,-53.4616,59.22,78,3,4.09,clear sky
129,Micheweni,TZ,-4.9667,39.8333,79.63,83,100,13.89,overcast clouds
130,Xushan,CN,30.1764,121.2457,66.13,83,94,8.63,overcast clouds
131,Talnakh,RU,69.4865,88.3972,11.21,96,83,9.55,broken clouds
132,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,75,5.75,broken clouds
133,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.0,93,77,1.63,broken clouds
134,Caraballeda,VE,10.6112,-66.8522,87.37,71,49,9.24,scattered clouds
135,Khasan,RU,42.4308,130.6434,48.67,49,4,6.42,clear sky
136,Pangnirtung,CA,66.1451,-65.7125,27.03,89,87,2.86,overcast clouds
137,Rayong,TH,12.8333,101.4333,82.96,99,100,1.99,overcast clouds
138,Biak,ID,-0.9131,122.8766,77.29,86,98,5.86,overcast clouds
139,Fortuna Foothills,US,32.6578,-114.4119,93.54,14,0,12.66,clear sky
140,Zhigansk,RU,66.7697,123.3711,18.68,93,100,25.19,snow
141,Karasjok,NO,69.4719,25.5112,28.92,78,60,17.56,broken clouds
142,Shelburne,CA,44.0787,-80.2041,61.59,31,16,9.4,few clouds
143,Davila,PH,18.4726,120.5763,78.78,73,93,6.98,overcast clouds
144,Cidreira,BR,-30.1811,-50.2056,66.76,79,0,14.05,clear sky
145,Antofagasta,CL,-23.65,-70.4,63.68,84,3,7.99,clear sky
146,Urucurituba,BR,-2.6833,-57.6667,75.4,97,82,2.62,broken clouds
147,Lompoc,US,34.6391,-120.4579,69.01,58,0,29.93,clear sky
148,Vilhena,BR,-12.7406,-60.1458,84.42,51,20,8.05,few clouds
149,Jibuti,DJ,11.5,42.5,80.01,63,94,7.76,overcast clouds
150,Bredasdorp,ZA,-34.5322,20.0403,54.81,85,100,3.91,overcast clouds
151,Grand Gaube,MU,-20.0064,57.6608,72.37,80,3,4.0,clear sky
152,Norman Wells,CA,65.282,-126.8329,44.64,49,75,8.05,broken clouds
153,Caravelas,BR,-17.7125,-39.2481,72.61,89,100,9.17,overcast clouds
154,Samarai,PG,-10.6167,150.6667,83.05,80,65,13.44,broken clouds
155,Ancud,CL,-41.8697,-73.8203,51.51,87,49,3.89,scattered clouds
156,Bandarbeyla,SO,9.4942,50.8122,82.47,83,14,8.7,light rain
157,Margate,GB,51.3813,1.3862,49.3,81,6,3.0,clear sky
158,San Jeronimo,PE,-11.9472,-75.2829,59.61,62,51,5.48,broken clouds
159,Canto Do Buriti,BR,-8.11,-42.9444,80.24,40,77,3.67,broken clouds
160,Tasiilaq,GL,65.6145,-37.6368,37.56,69,99,3.24,overcast clouds
161,Miandrivazo,MG,-19.5167,45.4667,73.36,83,0,1.43,clear sky
162,Victoria,HK,22.2855,114.1577,77.38,80,100,5.99,overcast clouds
163,Saint-Augustin,CA,51.226,-58.6502,44.38,54,96,9.62,overcast clouds
164,Fairbanks,US,64.8378,-147.7164,45.09,57,100,12.66,light rain
165,Pacific Grove,US,36.6177,-121.9166,62.55,71,75,14.97,broken clouds
166,Lavrentiya,RU,65.5833,-171.0,33.28,92,100,5.53,overcast clouds
167,Dikson,RU,73.5069,80.5464,26.8,95,100,26.71,light snow
168,Port Hardy,CA,50.6996,-127.4199,51.98,58,40,14.97,scattered clouds
169,Leningradskiy,RU,69.3833,178.4167,26.26,91,100,8.37,overcast clouds
170,Saldanha,ZA,-33.0117,17.9442,51.85,88,100,7.65,overcast clouds
171,Broken Hill,AU,-31.95,141.4333,42.51,81,0,8.05,clear sky
172,Kokoda,PG,-8.8785,147.7407,79.75,80,72,2.42,broken clouds
173,Acapulco,MX,16.8634,-99.8901,85.82,66,0,11.5,clear sky
174,Chlorakas,CY,34.8042,32.4083,61.68,48,0,8.05,light rain
175,Rio Grande,BR,-32.035,-52.0986,64.51,84,0,9.46,clear sky
176,Nantucket,US,41.2835,-70.0995,50.14,53,0,25.32,clear sky
177,Beringovskiy,RU,63.05,179.3167,35.73,69,40,18.07,scattered clouds
178,Hernani,ES,43.2662,-1.9762,58.6,80,0,3.44,clear sky
179,Point Pleasant,US,40.0832,-74.0682,59.05,69,100,12.66,overcast clouds
180,Ketchikan,US,55.3422,-131.6461,57.67,44,0,11.5,clear sky
181,Abu Dhabi,AE,24.4667,54.3667,84.31,72,0,2.3,clear sky
182,Kushima,JP,31.4583,131.2333,66.83,89,100,2.82,overcast clouds
183,Tzucacab,MX,20.0667,-89.05,105.12,22,4,2.91,clear sky
184,Odweyne,SO,9.4092,45.064,78.8,44,85,3.47,overcast clouds
185,Rocha,UY,-34.4833,-54.3333,57.33,82,0,5.41,clear sky
186,Viransehir,TR,37.2353,39.7631,56.71,57,22,4.81,few clouds
187,Roma,US,43.2128,-75.4557,66.34,20,0,8.05,clear sky
188,Namatanai,PG,-3.6667,152.4333,83.26,75,98,12.64,overcast clouds
189,Saskylakh,RU,71.9167,114.0833,9.57,94,95,13.67,overcast clouds
190,Copiapo,CL,-27.3667,-70.3333,60.49,57,98,5.23,overcast clouds
191,Houston,US,29.7633,-95.3633,95.41,61,0,12.66,clear sky
192,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.9,78,65,2.71,broken clouds
193,Lasa,IT,46.6166,10.7002,54.48,96,99,1.16,overcast clouds
194,Sitka,US,57.0531,-135.33,53.49,58,20,18.41,few clouds
195,High Rock,BS,26.6208,-78.2833,82.42,70,0,1.88,clear sky
196,Severo-Kurilsk,RU,50.6789,156.125,38.57,95,100,17.22,moderate rain
197,Yurgamysh,RU,55.3714,64.4656,47.68,39,90,5.73,overcast clouds
198,Tigzirt,DZ,36.8886,4.1198,60.1,66,6,5.95,clear sky
199,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,70,40,11.5,scattered clouds
