City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Poronaysk,RU,2022-05-07 17:16:09,49.2167,143.1167,32.52,100,100,17.54
136,Kirakira,SB,2022-05-07 17:16:10,-10.4544,161.9205,80.55,84,52,9.69
137,Provideniya,RU,2022-05-07 17:16:10,64.3833,-173.3,30.61,94,99,7.2
138,Aqtobe,KZ,2022-05-07 17:16:11,50.2797,57.2072,48.29,34,0,8.95
139,Ahipara,NZ,2022-05-07 17:16:11,-35.1667,173.1667,56.37,83,78,4.25
140,Crixas,BR,2022-05-07 17:16:12,-14.5489,-49.9692,91.17,40,22,6.02
141,Waipawa,NZ,2022-05-07 17:16:13,-41.4122,175.5153,55.62,77,96,13.6
142,Manzanillo,CU,2022-05-07 17:16:13,20.3433,-77.1167,89.35,47,1,3.27
143,Airai,TL,2022-05-07 17:16:14,-8.9266,125.4092,60.49,96,58,4.12
144,Yellowknife,CA,2022-05-07 17:13:18,62.456,-114.3525,34.95,94,100,24.27
145,Kytmanovo,RU,2022-05-07 17:16:15,53.4593,85.4479,40.14,37,59,9.37
146,Meulaboh,ID,2022-05-07 17:12:07,4.1363,96.1285,76.71,90,100,4.43
147,Soria,ES,2022-05-07 17:16:16,41.6667,-2.6667,65.1,45,2,9.42
148,Kilindoni,TZ,2022-05-07 17:16:17,-7.9139,39.6668,81.1,76,12,14.65
149,Hobyo,SO,2022-05-07 17:16:17,5.3505,48.5268,83.5,81,64,19.98
150,Ponta Delgada,PT,2022-05-07 17:15:37,37.7333,-25.6667,66.92,88,40,8.05
151,Pangody,RU,2022-05-07 17:16:18,65.85,74.4859,6.06,96,7,3.53
152,Byron Bay,AU,2022-05-07 17:16:19,-28.65,153.6167,62.94,92,99,8.41
153,Esmeraldas,BR,2022-05-07 17:16:05,-19.7625,-44.3139,84.31,51,67,3.13
154,Baykit,RU,2022-05-07 17:16:20,61.67,96.37,30.97,85,100,13.33
155,Mackay,AU,2022-05-07 17:15:19,-21.15,149.2,73.69,86,90,12.37
156,Mendoza,AR,2022-05-07 17:16:21,-32.8908,-68.8272,71.13,33,0,12.66
157,Krasnovishersk,RU,2022-05-07 17:16:22,60.4078,57.082,39.0,93,57,3.96
158,Juybar,IR,2022-05-07 17:16:22,36.6412,52.9124,62.69,89,77,2.17
159,Dzilam Gonzalez,MX,2022-05-07 17:16:23,21.2833,-88.9333,97.21,39,25,3.62
160,Puerto Suarez,BO,2022-05-07 17:16:23,-18.95,-57.8,86.56,37,0,6.91
161,Garowe,SO,2022-05-07 17:16:24,8.4054,48.4845,89.71,42,75,13.73
162,Maracaju,BR,2022-05-07 17:16:24,-21.6144,-55.1683,79.61,40,0,7.36
163,Nalut,LY,2022-05-07 17:16:25,30.3333,10.85,77.34,19,4,15.97
164,Iskateley,RU,2022-05-07 17:16:26,67.6803,53.1512,36.82,100,100,12.68
165,Ales,FR,2022-05-07 17:16:26,44.1333,4.0833,72.7,39,83,11.25
166,Vaike-Maarja,EE,2022-05-07 17:16:27,59.1264,26.25,49.39,95,100,10.13
167,Saint-Paul,RE,2022-05-07 17:16:27,-21.0096,55.2707,75.29,73,73,5.01
168,Kigonsera,TZ,2022-05-07 17:16:28,-10.8,35.05,60.87,93,42,3.56
169,Bedele,ET,2022-05-07 17:17:28,8.456,36.353,63.36,63,37,4.54
170,Yurkivka,UA,2022-05-07 17:17:29,49.0126,31.1013,56.39,58,99,5.12
171,Tasiilaq,GL,2022-05-07 17:17:29,65.6145,-37.6368,32.16,69,98,5.75
172,Nanortalik,GL,2022-05-07 17:17:30,60.1432,-45.2371,40.06,74,100,5.3
173,Havelock,US,2022-05-07 17:17:30,34.8791,-76.9013,80.55,71,5,11.99
174,Catamarca,AR,2022-05-07 17:17:31,-28.4696,-65.7852,79.59,39,87,4.0
175,Taoudenni,ML,2022-05-07 17:17:31,22.6783,-3.9836,101.26,7,1,11.1
176,La Ronge,CA,2022-05-07 17:17:32,55.1001,-105.2842,57.45,44,40,4.61
177,Singapore,SG,2022-05-07 17:14:20,1.2897,103.8501,78.75,85,75,5.75
178,Norman Wells,CA,2022-05-07 17:17:32,65.282,-126.8329,39.24,65,100,5.75
179,Vaini,TO,2022-05-07 17:17:33,-21.2,-175.2,71.76,94,75,0.0
180,Kaoma,ZM,2022-05-07 17:17:34,-14.7833,24.8,70.66,55,95,5.03
181,Mecca,SA,2022-05-07 17:17:34,21.4267,39.8261,83.5,32,0,10.13
182,Brokopondo,SR,2022-05-07 17:17:35,4.75,-55.1667,82.47,71,69,1.9
183,Maryborough,AU,2022-05-07 17:17:36,-25.5333,152.7,66.92,97,99,5.08
184,Port Hedland,AU,2022-05-07 17:17:36,-20.3167,118.5667,71.65,73,0,8.05
185,San Rafael,AR,2022-05-07 17:13:46,-34.6177,-68.3301,78.04,21,1,15.93
186,Saint-Georges,GD,2022-05-07 17:14:59,12.0564,-61.7485,83.88,79,40,18.41
187,Sawtell,AU,2022-05-07 17:17:37,-30.3833,153.1,60.82,88,99,11.5
188,Silleda,ES,2022-05-07 17:17:38,42.696,-8.2465,72.1,32,100,5.19
189,Sao Felix Do Xingu,BR,2022-05-07 17:13:21,-6.6447,-51.995,90.43,48,11,5.23
190,Sao Filipe,CV,2022-05-07 17:17:38,14.8961,-24.4956,74.32,76,39,18.3
191,Saldanha,ZA,2022-05-07 17:17:39,-33.0117,17.9442,59.25,68,1,22.48
192,Gandorhun,SL,2022-05-07 17:17:39,7.5,-11.8333,86.94,66,69,8.03
193,Tanete,ID,2022-05-07 17:17:40,-3.9443,119.7848,75.51,94,82,1.5
194,Sioux Lookout,CA,2022-05-07 17:17:40,50.1001,-91.917,60.87,36,75,9.22
195,Botwood,CA,2022-05-07 17:17:41,49.1499,-55.3482,42.91,47,98,11.99
196,Pisco,PE,2022-05-07 17:17:42,-13.7,-76.2167,70.02,78,25,12.66
197,Wollongong,AU,2022-05-07 17:17:42,-34.4333,150.8833,57.07,55,0,11.63
198,Havoysund,NO,2022-05-07 17:17:43,70.9963,24.6622,39.43,91,90,26.37
199,Chuy,UY,2022-05-07 17:17:43,-33.6971,-53.4616,70.47,55,0,3.15
200,North Platte,US,2022-05-07 17:13:38,41.1239,-100.7654,72.12,60,0,15.01
201,Kedrovyy,RU,2022-05-07 17:17:44,56.1667,91.8167,41.41,47,73,13.87
202,Bozoum,CF,2022-05-07 17:17:44,6.3193,16.3799,77.22,68,96,1.81
203,Eirunepe,BR,2022-05-07 17:17:45,-6.6603,-69.8736,88.83,49,80,5.55
204,Yiyang,CN,2022-05-07 17:17:45,28.5892,112.3283,71.33,83,100,1.45
205,Leningradskiy,RU,2022-05-07 17:17:46,69.3833,178.4167,17.08,96,96,3.04
206,Ocampo,MX,2022-05-07 17:17:46,21.65,-101.5,80.2,16,19,10.58
207,Lavrentiya,RU,2022-05-07 17:17:47,65.5833,-171.0,20.12,99,85,4.5
208,Alofi,NU,2022-05-07 17:17:47,-19.0595,-169.9187,75.09,94,84,10.36
209,Avera,US,2022-05-07 17:14:47,33.194,-82.5271,68.05,51,52,16.26
210,Rocha,UY,2022-05-07 17:17:48,-34.4833,-54.3333,72.52,53,0,2.93
211,Port Elizabeth,ZA,2022-05-07 17:17:49,-33.918,25.5701,62.89,79,75,8.05
212,Ayan,RU,2022-05-07 17:17:49,56.45,138.1667,34.93,75,28,10.83
213,La Grande,US,2022-05-07 17:17:50,45.3246,-118.0877,52.0,73,100,10.67
214,Lichtenburg,ZA,2022-05-07 17:17:50,-26.152,26.1597,61.14,36,71,7.14
215,Orocue,CO,2022-05-07 17:18:51,4.7912,-71.3354,81.9,75,84,6.38
216,Talnakh,RU,2022-05-07 17:18:51,69.4865,88.3972,11.21,79,33,15.1
217,Faya,SA,2022-05-07 17:18:52,18.3851,42.4509,66.72,55,13,6.73
218,Nkhotakota,MW,2022-05-07 17:18:52,-12.9274,34.2961,72.45,72,8,0.22
219,Bethel,US,2022-05-07 17:18:53,41.3712,-73.414,53.96,60,100,14.97
220,Beringovskiy,RU,2022-05-07 17:18:53,63.05,179.3167,25.75,92,100,5.53
221,Andros Town,BS,2022-05-07 17:18:54,24.7,-77.7667,85.96,53,50,14.23
222,Axim,GH,2022-05-07 17:18:54,4.8699,-2.2405,82.49,75,81,8.16
223,Khuzhir,RU,2022-05-07 17:18:55,53.1939,107.3397,36.52,67,76,4.07
224,Plainview,US,2022-05-07 17:18:55,40.7765,-73.4673,50.47,83,100,17.27
225,Homer,US,2022-05-07 17:18:56,59.6425,-151.5483,49.05,76,0,6.91
226,Hofn,IS,2022-05-07 17:18:57,64.2539,-15.2082,43.88,72,62,16.51
227,Sorsk,RU,2022-05-07 17:18:57,54.0033,90.2467,36.45,60,90,13.27
228,Mandalgovi,MN,2022-05-07 17:18:58,45.7625,106.2708,44.28,46,0,5.91
229,Kijang,KR,2022-05-07 17:18:58,35.2442,129.2139,60.53,69,94,16.82
230,Prince Rupert,CA,2022-05-07 17:18:59,54.3161,-130.3201,46.09,81,40,4.61
231,Inhambane,MZ,2022-05-07 17:18:59,-23.865,35.3833,71.46,79,0,4.25
232,Jiangyou,CN,2022-05-07 17:19:00,31.7667,104.7167,72.84,75,83,3.15
233,Necochea,AR,2022-05-07 17:19:00,-38.5473,-58.7368,72.21,48,77,14.72
234,Sechura,PE,2022-05-07 17:19:01,-5.5569,-80.8222,78.08,58,3,9.33
235,Ulladulla,AU,2022-05-07 17:19:01,-35.35,150.4667,45.77,60,0,9.93
236,Labytnangi,RU,2022-05-07 17:19:02,66.6572,66.4183,24.33,95,90,4.47
237,Severo-Kurilsk,RU,2022-05-07 17:19:02,50.6789,156.125,38.35,89,60,2.33
238,Menongue,AO,2022-05-07 17:19:03,-14.6585,17.691,71.69,44,53,2.68
239,Takoradi,GH,2022-05-07 17:19:04,4.8845,-1.7554,81.79,77,91,6.08
240,Vanavara,RU,2022-05-07 17:19:04,60.34,102.2797,34.88,70,22,17.92
241,Longyearbyen,SJ,2022-05-07 17:19:05,78.2186,15.6401,15.64,67,75,6.91
242,Haines Junction,CA,2022-05-07 17:19:05,60.7522,-137.5108,31.95,86,100,1.14
243,Kutum,SD,2022-05-07 17:19:06,14.2,24.6667,86.72,8,87,9.84
244,Nizwa,OM,2022-05-07 17:19:06,22.9333,57.5333,88.29,20,0,4.45
245,Carballo,ES,2022-05-07 17:19:08,43.213,-8.691,76.42,61,99,3.13
246,Sacele,RO,2022-05-07 17:19:09,45.6174,25.6943,58.71,50,53,6.73
